dx,dy,dz,eye
0.272916,0.301665,0.913518,left
0.252213,0.400036,0.881113,left
0.183517,0.299375,0.936320,left
0.166584,0.390908,0.905230,left
0.132877,0.472377,0.871323,left
0.084369,0.389306,0.917236,left
0.042226,0.480366,0.876051,left
-0.027613,0.395932,0.917865,left
-0.072297,0.466449,0.881589,left
-0.109448,0.388578,0.914893,left
-0.158593,0.445940,0.880901,left
-0.198624,0.348872,0.915880,left
-0.251584,0.401936,0.880428,left
-0.291539,0.287614,0.912296,left
-0.343374,0.334636,0.877561,left
-0.239158,0.214628,0.946963,left
-0.152769,0.282976,0.946882,left
-0.119386,0.190425,0.974415,left
-0.077649,0.293391,0.952834,left
-0.061195,0.208371,0.976134,left
-0.003050,0.304730,0.952434,left
0.036363,0.217541,0.975373,left
0.099729,0.298076,0.949318,left
0.125154,0.223130,0.966721,left
0.194339,0.224736,0.954843,left
0.935661,-0.101653,-0.337941,left
0.936655,0.064397,-0.344282,left
0.132130,0.637056,0.759409,left
-0.039755,0.862275,0.504877,left
0.096136,0.989890,0.104287,left
0.089960,0.995916,0.007601,left
0.188601,0.979196,0.074870,left
0.277953,0.953680,0.115049,left
0.096688,0.370786,-0.923671,left
0.044331,0.430918,-0.901302,left
0.064194,0.529598,-0.845816,left
0.037143,0.673806,-0.737974,left
0.111565,0.632566,-0.766429,left
0.073263,0.745687,-0.662256,left
0.108227,0.817488,-0.565686,left
0.016601,0.843258,-0.537253,left
0.770047,0.536297,0.345562,left
0.078560,0.124559,0.989097,left
0.019522,-0.005767,0.999793,left
0.094914,0.048326,0.994312,left
0.076845,-0.011471,0.996977,left
0.144782,0.131469,0.980691,left
0.179224,0.058495,0.982068,left
0.165687,-0.021454,0.985945,left
0.215211,0.138594,0.966683,left
0.242068,0.055270,0.968684,left
0.254392,-0.021257,0.966867,left
0.306172,0.134959,0.942361,left
0.316296,0.053294,0.947162,left
0.318426,-0.040321,0.947090,left
0.395639,0.028443,0.917965,left
-0.047139,0.114017,0.992360,left
-0.094007,0.047112,0.994456,left
-0.153321,0.031099,0.987687,left
-0.109009,0.112787,0.987621,left
-0.174324,0.099722,0.979626,left
-0.232156,0.067697,0.970320,left
-0.194773,0.157042,0.968195,left
-0.266603,0.124545,0.955726,left
-0.313073,0.167432,0.934854,left
-0.379656,0.215437,0.899693,left
-0.395314,0.103649,0.912679,left
-0.453926,0.132716,0.881100,left
-0.576171,0.100633,0.811111,left
-0.653101,0.121378,0.747480,left
-0.513011,0.170231,0.841333,left
-0.568438,0.206574,0.796370,left
-0.557376,0.320740,0.765805,left
-0.490146,0.302917,0.817311,left
-0.441289,0.266730,0.856807,left
-0.395328,0.373563,0.839146,left
-0.456864,0.396744,0.796159,left
-0.362532,0.468357,0.805737,left
-0.302967,0.436614,0.847100,left
-0.271288,0.522748,0.808169,left
-0.208416,0.483241,0.850318,left
-0.254402,0.604889,0.754578,left
-0.307905,0.637994,0.705804,left
-0.351034,0.544663,0.761654,left
-0.418416,0.569830,0.707263,left
-0.426139,0.489081,0.761056,left
-0.492589,0.505963,0.708066,left
-0.532522,0.415560,0.737381,left
-0.595097,0.421145,0.684468,left
-0.601974,0.338194,0.723362,left
-0.656260,0.346219,0.670414,left
-0.628797,0.235940,0.740909,left
-0.675967,0.244576,0.695163,left
-0.726975,0.255274,0.637450,left
-0.717577,0.333242,0.611582,left
-0.770334,0.380873,0.511391,left
-0.714695,0.400273,0.573578,left
-0.706445,0.478958,0.521090,left
-0.639290,0.497421,0.586413,left
-0.646590,0.550174,0.528422,left
-0.577814,0.570110,0.584043,left
-0.559316,0.652100,0.511792,left
-0.477370,0.658614,0.581675,left
-0.357595,0.736069,0.574742,left
-0.231776,0.795916,0.559283,left
-0.275462,0.719986,0.636978,left
-0.158751,0.768268,0.620130,left
-0.055573,0.800905,0.596207,left
-0.125600,0.833541,0.537991,left
0.751139,0.626990,-0.206576,left
0.630574,0.741931,-0.227848,left
0.437365,0.743750,-0.505517,left
-0.649628,0.416885,0.635760,left
-0.567663,0.507396,0.648312,left
-0.488262,0.570921,0.660037,left
-0.380605,0.662704,0.644952,left
-0.322339,0.810621,0.488867,left
-0.411902,0.809238,0.418891,left
-0.496252,0.789549,0.361033,left
-0.531179,0.729720,0.430532,left
-0.593138,0.710311,0.379007,left
-0.617614,0.640040,0.457057,left
-0.691291,0.612504,0.383347,left
-0.715938,0.528417,0.456298,left
-0.768020,0.507782,0.390261,left
-0.768152,0.454874,0.450591,left
-0.811982,0.427188,0.397738,left
-0.830417,0.339773,0.441545,left
-0.856844,0.382412,0.345802,left
-0.816311,0.460279,0.348970,left
-0.748023,0.567838,0.343543,left
-0.666134,0.675044,0.317145,left
-0.577360,0.759244,0.300339,left
-0.471119,0.838809,0.272848,left
-0.384206,0.859938,0.335995,left
-0.374548,0.892779,0.250320,left
-0.553831,0.803484,0.218368,left
-0.661519,0.711505,0.236967,left
-0.741001,0.620563,0.256553,left
-0.814072,0.513388,0.271513,left
-0.870604,0.404612,0.279888,left
-0.859476,0.462805,0.217055,left
-0.795118,0.572474,0.200154,left
-0.726767,0.661588,0.184691,left
-0.628906,0.756869,0.177840,left
-0.020878,0.989626,0.142142,left
-0.020974,0.998830,0.043579,left
-0.117081,0.988066,0.100089,left
-0.231151,0.971968,0.042993,left
-0.321847,0.943324,0.080955,left
-0.432848,0.901240,0.020216,left
-0.450346,0.885592,0.113650,left
-0.530265,0.846111,0.053995,left
-0.542995,0.827271,0.144149,left
-0.619475,0.779885,0.089608,left
-0.715314,0.698033,0.032806,left
-0.721292,0.682486,0.118112,left
-0.787510,0.612845,0.065186,left
-0.793394,0.592516,0.139464,left
-0.845549,0.512582,0.149357,left
-0.849381,0.519438,0.093466,left
-0.842474,0.537808,0.031619,left
-0.891443,0.438233,0.115244,left
-0.894523,0.443201,0.058330,left
-0.888245,0.459370,-0.000782,left
-0.887961,0.455935,-0.060404,left
-0.890381,0.436519,-0.129124,left
-0.845072,0.508381,-0.165534,left
-0.839581,0.532527,-0.107324,left
-0.835114,0.548934,-0.035429,left
-0.776877,0.624091,-0.083505,left
-0.774725,0.615400,-0.145203,left
-0.710500,0.701645,-0.053705,left
-0.697660,0.706393,-0.119500,left
-0.616186,0.770436,-0.163533,left
-0.619484,0.779912,-0.089307,left
-0.622608,0.782532,0.001257,left
-0.532421,0.845643,-0.037635,left
-0.530309,0.838320,-0.126458,left
-0.427974,0.900548,-0.076492,left
-0.342828,0.939228,-0.017885,left
-0.323539,0.939011,-0.116541,left
-0.231066,0.971248,-0.057321,left
-0.232265,0.960717,-0.151910,left
-0.117364,0.992870,-0.020853,left
-0.122010,0.987990,-0.094814,left
-0.038330,0.998434,-0.040751,left
-0.001125,0.990239,-0.139378,left
-0.018236,0.971016,-0.238319,left
-0.116223,0.973494,-0.196984,left
-0.114821,0.949689,-0.291389,left
-0.032560,0.949923,-0.310783,left
-0.227419,0.940129,-0.253845,left
-0.332152,0.892119,-0.306266,left
-0.341133,0.916192,-0.210288,left
-0.442624,0.862943,-0.243747,left
-0.431706,0.885942,-0.169521,left
-0.524845,0.827241,-0.200526,left
-0.531884,0.789881,-0.305266,left
-0.636962,0.731355,-0.243718,left
-0.715459,0.668880,-0.201787,left
-0.704064,0.651862,-0.281727,left
-0.786224,0.578124,-0.218231,left
-0.784802,0.544491,-0.295999,left
-0.849792,0.471183,-0.236306,left
-0.856896,0.407864,-0.315240,left
-0.895494,0.399922,-0.195326,left
-0.855976,0.359239,-0.371824,left
-0.807414,0.348563,-0.476011,left
-0.814122,0.409431,-0.411790,left
-0.742010,0.463852,-0.484006,left
